case_id,dice,iou,false_positive_voxels,false_negative_voxels,reference_voxels,predicted_voxels
deepmeta_091_m2PLc_c3_08Corr_1,0.2931559736465979,0.17175322942244048,64423,59708,85449,90164
deepmeta_094_m2PRc_c2_05Corr_1,0.30002968239833777,0.17649113004609582,63001,66700,94497,90798
deepmeta_000_m2P_day6,0.799208544021846,0.665568146777675,28039,6667,75737,97109
deepmeta_004_m2P_day32,0.8663813618718458,0.7642617479388183,6674,59861,275567,222380
deepmeta_133_m2PRc_c2_20Corr_1,0.8964141981799064,0.812274131020435,16728,414,74586,90900
deepmeta_003_m2P_day25,0.9123651740143044,0.8388524826680234,3053,18169,128640,113524
deepmeta_002_m2P_day19,0.9168114757729853,0.846400654426468,3619,13280,106401,96740
deepmeta_078_2PRc_day36,0.9237372036807164,0.858282202859571,9076,6099,98003,100980
deepmeta_077_2PRc_day29,0.9505060347904949,0.9056803243273058,6224,4036,102555,104743
deepmeta_127_m2PLc_c3_16Corr_1,0.952303961196443,0.9089506172839507,4507,4815,97877,97569
deepmeta_128_m2PLc_c3_20Corr_1,0.9549005045201936,0.9136933934522643,7407,1398,94613,100622
deepmeta_076_2PRc_day22,0.9619994356580828,0.9267812260468101,3919,4296,108279,107902
deepmeta_131_m2PRc_c2_13Corr_1,0.9771783842671725,0.9553751790502075,1100,3760,107808,105148
deepmeta_132_m2PRc_c2_18Corr_1,0.9782111662504873,0.9573515915816826,1169,2967,95810,94012
deepmeta_149_PR_c1_10Corr_1,0.9795647712022735,0.9599480139042177,1327,2556,95622,94393
deepmeta_129_m2PR_c1_09Corr_1,0.9797132542175788,0.9602332464549189,1851,2650,111334,110535
deepmeta_130_m2PRc_c1_11Corr_1,0.9847787502606379,0.970013926041698,2085,908,97728,98905
deepmeta_150_PR_c2_11Corr_1,0.9867137854128719,0.9737759886676409,1487,1438,110052,110101
