case_id,source_id,source_name,mouse_id,timepoint_days,status,has_metastasis,lesion_annotation_available,lesion_training_eligible,mutation,lung_voxels,lesion_voxels,voxel_volume_mm3
deepmeta_000_m2P_day6,0,m2P_day6.tif,m2P,6.0,s,False,False,True,LacZ,75737,0,0.0047683715820312
deepmeta_002_m2P_day19,2,m2P_day19.tif,m2P,19.0,m,True,True,True,LacZ,106401,1008,0.0047683715820312
deepmeta_003_m2P_day25,3,m2P_day25.tif,m2P,25.0,m,True,False,False,LacZ,128640,0,0.0047683715820312
deepmeta_004_m2P_day32,4,m2P_day32.tif,m2P,32.0,m,True,False,False,LacZ,275567,0,0.0047683715820312
deepmeta_009_m2PL_day32,9,m2PL_day32.tif,m2PL,32.0,m,True,False,False,LacZ,261258,0,0.0047683715820312
deepmeta_012_m2PR_day19,12,m2PR_day19.tif,m2PR,19.0,m,True,False,False,LacZ,98115,0,0.0047683715820312
deepmeta_013_m2PR_day25,13,m2PR_day25.tif,m2PR,25.0,m,True,False,False,LacZ,97897,0,0.0047683715820312
deepmeta_015_m2PRPL_day19,15,m2PRPL_day19.tif,m2PRPL,19.0,s,False,False,True,LacZ,103893,0,0.0047683715820312
deepmeta_016_m2PRPL_day25,16,m2PRPL_day25.tif,m2PRPL,25.0,m,True,True,True,LacZ,109975,2932,0.0047683715820312
deepmeta_018_NoP_day19,18,NoP_day19.tif,NoP,19.0,s,False,False,True,LacZ,92178,0,0.0047683715820312
deepmeta_020_PL_day19,20,PL_day19.tif,PL,19.0,m,True,False,False,LacZ,89321,0,0.0047683715820312
deepmeta_021_PL_day25,21,PL_day25.tif,PL,25.0,m,True,True,True,LacZ,90585,599,0.0047683715820312
deepmeta_042_2PLc_day8,42,2PLc_day8.tif,2PLc,8.0,s,False,False,True,iL34c,96466,0,0.0047683715820312
deepmeta_045_2PLc_day29,45,2PLc_day29.tif,2PLc,29.0,s,False,False,True,iL34c,103341,0,0.0047683715820312
deepmeta_047_2PLc_day43,47,2PLc_day43.tif,2PLc,43.0,m,True,True,True,iL34c,98914,79,0.0047683715820312
deepmeta_050_2PLc_day64,50,2PLc_day64.tif,2PLc,64.0,m,True,True,True,iL34c,87567,2270,0.0047683715820312
deepmeta_051_2PLc_day71,51,2PLc_day71.tif,2PLc,71.0,m,True,True,True,iL34c,100103,2752,0.0047683715820312
deepmeta_052_2PLc_day78,52,2PLc_day78.tif,2PLc,78.0,m,True,True,True,iL34c,88037,3412,0.0047683715820312
deepmeta_053_2PLc_day85,53,2PLc_day85.tif,2PLc,85.0,m,True,False,False,iL34c,84160,0,0.0047683715820312
deepmeta_054_2PLc_day92,54,2PLc_day92.tif,2PLc,92.0,m,True,False,False,iL34c,95987,0,0.0047683715820312
deepmeta_055_2PLc_day99,55,2PLc_day99.tif,2PLc,99.0,m,True,True,True,iL34c,95616,12248,0.0047683715820312
deepmeta_057_2PLc_day113,57,2PLc_day113.tif,2PLc,113.0,m,True,False,False,iL34c,128285,0,0.0047683715820312
deepmeta_058_2PLc_day120,58,2PLc_day120.tif,2PLc,120.0,m,True,False,False,iL34c,222279,0,0.0047683715820312
deepmeta_076_2PRc_day22,76,2PRc_day22.tif,2PRc,22.0,s,False,False,True,iL34c,108279,0,0.0047683715820312
deepmeta_077_2PRc_day29,77,2PRc_day29.tif,2PRc,29.0,m,True,True,True,iL34c,102555,2000,0.0047683715820312
deepmeta_078_2PRc_day36,78,2PRc_day36.tif,2PRc,36.0,m,True,False,False,iL34c,98003,0,0.0047683715820312
deepmeta_084_NoPc_day50,84,NoPc_day50.tif,NoPc,50.0,s,False,False,True,iL34c,95553,0,0.0047683715820312
deepmeta_086_PLc_day22,86,PLc_day22.tif,PLc,22.0,s,False,False,True,iL34c,101150,0,0.0047683715820312
deepmeta_087_m2P_c2_05Corr_1,87,m2P_c2_05Corr_1.bin,m2P_c2,,s,False,False,True,LacZ,91656,0,0.0047683715820312
deepmeta_088_m2P_c3_07Corr_1,88,m2P_c3_07Corr_1.bin,m2P_c3,,s,False,False,True,LacZ,88200,0,0.0047683715820312
deepmeta_089_m2Pc_c2_08Corr_1,89,m2Pc_c2_08Corr_1.bin,m2Pc_c2,,s,False,False,True,iL34c,87268,0,0.0047683715820312
deepmeta_090_m2Pc_c3_06Corr_1,90,m2Pc_c3_06Corr_1.bin,m2Pc_c3,,s,False,False,True,iL34c,102128,0,0.0047683715820312
deepmeta_091_m2PLc_c3_08Corr_1,91,m2PLc_c3_08Corr_1.bin,m2PLc_c3,,s,False,False,True,iL34c,85449,0,0.0047683715820312
deepmeta_092_m2PR_c2_06Corr_1,92,m2PR_c2_06Corr_1.bin,m2PR_c2,,s,False,False,True,LacZ,91375,0,0.0047683715820312
deepmeta_093_m2PR_c3_08Corr_1,93,m2PR_c3_08Corr_1.bin,m2PR_c3,,s,False,False,True,LacZ,92332,0,0.0047683715820312
deepmeta_094_m2PRc_c2_05Corr_1,94,m2PRc_c2_05Corr_1.bin,m2PRc_c2,,s,False,False,True,iL34c,94497,0,0.0047683715820312
deepmeta_095_m2PRc_c3_07Corr_1,95,m2PRc_c3_07Corr_1.bin,m2PRc_c3,,s,False,False,True,iL34c,91024,0,0.0047683715820312
deepmeta_096_NoP_c2_06Corr_1,96,NoP_c2_06Corr_1.bin,NoP_c2,,s,False,False,True,LacZ,99903,0,0.0047683715820312
deepmeta_097_NoP_c3_08Corr_1,97,NoP_c3_08Corr_1.bin,NoP_c3,,s,False,False,True,LacZ,93836,0,0.0047683715820312
deepmeta_098_PL_c2_05Corr_1,98,PL_c2_05Corr_1.bin,PL_c2,,s,False,False,True,LacZ,99544,0,0.0047683715820312
deepmeta_099_Plc_c2_05Corr_1,99,Plc_c2_05Corr_1.bin,Plc_c2,,s,False,False,True,iL34c,93820,0,0.0047683715820312
deepmeta_100_Plc_c3_07Corr_1,100,Plc_c3_07Corr_1.bin,Plc_c3,,s,False,False,True,iL34c,104493,0,0.0047683715820312
deepmeta_101_PR_c3_07Corr_1,101,PR_c3_07Corr_1.bin,PR_c3,,s,False,False,True,LacZ,92868,0,0.0047683715820312
deepmeta_102_Prc_c3_06Corr_1,102,Prc_c3_06Corr_1.bin,Prc_c3,,s,False,False,True,iL34c,101185,0,0.0047683715820312
deepmeta_120_m2PL_c1_10Corr_1,120,m2PL_c1_10Corr_1,m2PL_c1,,s,False,False,True,LacZ,96166,0,0.0047683715820312
deepmeta_121_m2PL_c2_11Corr_1,121,m2PL_c2_11Corr_1,m2PL_c2,,s,False,False,True,LacZ,97400,0,0.0047683715820312
deepmeta_122_m2PL_c2_18Corr_1,122,m2PL_c2_18Corr_1,m2PL_c2,,s,False,False,True,LacZ,96167,0,0.0047683715820312
deepmeta_123_m2PLc_c1_09Corr_1,123,m2PLc_c1_09Corr_1,m2PLc_c1,,s,False,False,True,iL34c,103036,0,0.0047683715820312
deepmeta_124_m2PLc_c2_12Corr_1,124,m2PLc_c2_12Corr_1,m2PLc_c2,,s,False,False,True,iL34c,101531,0,0.0047683715820312
deepmeta_125_m2PLc_c2_19Corr_1,125,m2PLc_c2_19Corr_1,m2PLc_c2,,s,False,False,True,iL34c,101111,0,0.0047683715820312
deepmeta_126_m2PLc_c2_21Corr_1,126,m2PLc_c2_21Corr_1,m2PLc_c2,,s,False,False,True,iL34c,71294,0,0.0047683715820312
deepmeta_127_m2PLc_c3_16Corr_1,127,m2PLc_c3_16Corr_1,m2PLc_c3,,m,True,True,True,iL34c,97877,496,0.0047683715820312
deepmeta_128_m2PLc_c3_20Corr_1,128,m2PLc_c3_20Corr_1,m2PLc_c3,,m,True,True,True,iL34c,94613,597,0.0047683715820312
deepmeta_129_m2PR_c1_09Corr_1,129,m2PR_c1_09Corr_1,m2PR_c1,,s,False,False,True,LacZ,111334,0,0.0047683715820312
deepmeta_130_m2PRc_c1_11Corr_1,130,m2PRc_c1_11Corr_1,m2PRc_c1,,s,False,False,True,iL34c,97728,0,0.0047683715820312
deepmeta_131_m2PRc_c2_13Corr_1,131,m2PRc_c2_13Corr_1,m2PRc_c2,,s,False,False,True,iL34c,107808,0,0.0047683715820312
deepmeta_132_m2PRc_c2_18Corr_1,132,m2PRc_c2_18Corr_1,m2PRc_c2,,s,False,False,True,iL34c,95810,0,0.0047683715820312
deepmeta_133_m2PRc_c2_20Corr_1,133,m2PRc_c2_20Corr_1,m2PRc_c2,,s,False,False,True,iL34c,74586,0,0.0047683715820312
deepmeta_134_m2PRc_c3_15Corr_1,134,m2PRc_c3_15Corr_1,m2PRc_c3,,m,True,True,True,iL34c,103686,707,0.0047683715820312
deepmeta_135_m2PRc_c3_16Corr_1,135,m2PRc_c3_16Corr_1,m2PRc_c3,,m,True,True,True,iL34c,145359,691,0.0047683715820312
deepmeta_136_m2PRc_c3_19Corr_1,136,m2PRc_c3_19Corr_1,m2PRc_c3,,m,True,True,True,iL34c,103028,4069,0.0047683715820312
deepmeta_137_NoP_c1_12Corr_1,137,NoP_c1_12Corr_1,NoP_c1,,s,False,False,True,LacZ,110377,0,0.0047683715820312
deepmeta_138_NoP_c1_17Corr_1,138,NoP_c1_17Corr_1,NoP_c1,,s,False,False,True,LacZ,78057,0,0.0047683715820312
